1	1
2	2
3	1
4	3
5	4
6	5
7	2
8	3
9	6
10	1
11	1
12	7
13	8
14	9
15	10
16	10
17	4
18	1
19	1
20	10
21	4
21	1
22	11
23	12
24	1
25	13
26	14
27	15
28	16
29	17
30	10
31	6
32	1
33	18
34	1
35	19
36	1
37	20
38	19
39	1
40	13
40	21
41	18
42	2
43	10
44	3
45	10
46	1
47	22
48	1
49	10
50	10
51	1
52	19
53	16
54	1
55	18
56	14
57	19
58	23
59	4
60	2
61	12
62	10
63	18
64	1
65	10
66	11
67	24
67	25
67	26
68	10
69	27
70	19
71	28
72	15
73	29
74	30
75	2
76	1
77	19
78	17
79	31
79	13
79	32
79	33
80	34
81	1
82	1
83	18
84	2
85	1
86	1
87	35
88	10
89	10
90	10
91	10
92	16
93	19
94	6
95	1
96	36
97	1
98	3
99	37
99	38
100	39
100	26
101	1
102	6
103	9
104	1
105	17
106	28
107	10
108	10
109	1
110	1
111	1
112	4
113	1
114	3
115	16
116	10
117	1
118	19
119	13
119	40
120	9
121	6
122	1
123	2
124	10
125	41
126	35
127	1
128	19
129	34
130	42
130	34
130	43
131	10
132	2
133	1
134	8
135	6
135	26
136	10
137	1
138	15
139	10
140	17
141	18
142	1
143	18
144	1
145	24
146	19
147	17
148	44
148	13
148	41
148	21
149	11
150	45
151	3
152	1
152	10
153	1
154	1
155	10
156	17
157	46
158	46
159	18
160	10
161	1
162	17
163	1
164	12
165	47
166	48
167	49
168	26
169	17
170	50
171	10
172	19
173	1
174	17
175	1
176	46
177	13
178	10
179	44
179	13
180	10
181	1
182	10
183	4
184	1
185	10
186	37
187	16
188	1
189	4
190	19
191	3
192	1
193	26
194	22
195	10
196	1
196	13
197	4
198	51
199	2
200	26
201	18
202	1
203	13
204	52
205	2
206	10
207	3
208	9
209	13
210	29
211	6
212	53
213	16
214	19
215	1
216	51
217	32
217	13
218	10
219	1
220	41
220	13
220	40
221	50
222	18
223	17
224	54
224	55
224	38
225	9
226	22
227	1
228	31
229	19
230	15
231	5
232	45
233	56
233	13
234	1
235	18
236	1
237	1
238	40
239	32
239	13
240	4
241	1
242	9
243	57
244	58
245	1
246	19
247	21
248	26
249	19
250	38
251	1
252	1
253	30
254	40
255	9
256	13
256	59
257	2
258	6
259	1
260	19
261	11
262	1
263	28
264	19
265	26
266	18
267	9
268	60
269	3
270	7
271	1
272	13
272	17
272	27
273	6
274	1
275	1
276	61
276	34
277	19
278	28
279	17
280	1
281	22
282	56
283	10
284	38
285	35
286	28
287	3
288	1
289	62
290	17
291	59
292	63
292	24
292	26
293	1
294	17
295	6
296	7
297	2
298	8
299	64
299	11
299	13
300	26
301	22
302	1
303	9
304	19
305	1
306	48
306	38
307	4
308	65
309	40
310	2
311	3
312	10
313	38
314	26
315	6
316	38
317	28
317	13
318	17
319	10
320	18
321	1
322	14
323	41
324	10
325	24
325	26
326	11
327	1
328	17
329	18
330	1
331	1
332	1
333	11
334	46
335	9
336	19
337	18
338	1
339	1
340	1
341	50
342	9
343	1
344	26
345	1
346	10
347	10
348	1
349	17
350	59
351	1
352	66
353	1
354	52
355	54
356	2
357	2
358	13
359	2
360	29
361	2
362	1
363	1
364	15
365	20
366	40
367	48
368	4
369	1
370	19
371	17
372	67
372	26
373	1
374	59
375	1
376	16
377	1
378	68
379	69
380	1
381	6
382	9
383	3
384	4
385	17
386	41
387	1
388	17
389	1
390	22
391	10
392	1
393	2
394	26
395	10
396	41
397	10
398	32
398	70
398	64
398	41
398	13
398	36
398	69
399	10
400	12
400	50
401	2
402	1
403	3
404	19
405	26
406	27
407	13
408	19
409	18
410	1
411	4
412	10
413	1
414	35
415	33
416	32
417	1
418	1
419	35
420	2
421	10
422	3
423	56
424	1
425	1
426	3
427	1
428	62
429	46
430	26
431	17
432	1
433	17
434	10
435	17
436	26
437	1
438	2
439	6
440	13
441	10
442	1
443	25
444	18
445	9
446	26
447	1
448	26
449	1
450	1
451	1
452	13
452	32
452	40
453	24
453	1
454	13
455	30
456	10
457	10
458	17
459	18
459	6
460	53
461	17
462	27
463	1
464	1
465	35
466	17
467	37
467	38
468	26
469	8
470	65
471	32
471	69
471	13
472	14
473	62
473	26
474	1
475	28
476	71
477	3
478	59
479	1
480	16
481	1
482	1
483	40
484	10
485	4
486	1
487	37
487	38
488	18
489	9
490	15
491	21
492	9
493	63
494	1
495	1
496	13
497	34
498	1
499	61
500	27
501	3
502	19
503	2
504	1
505	24
506	16
507	5
508	1
509	1
510	52
511	1
512	39
